Vespertilionidae Kerivoula Kerivoula hardwickii 4.55
Vespertilionidae Kerivoula Kerivoula flora 6.01
Vespertilionidae Kerivoula Kerivoula eriophora 5.4381818182
Vespertilionidae Kerivoula Kerivoula cuprosa 5.4381818182
Vespertilionidae Kerivoula Kerivoula argentata 10.11
Vespertilionidae Kerivoula Kerivoula agnella 5.4381818182
Vespertilionidae Kerivoula Kerivoula africana 5.4381818182
Vespertilionidae Idionycteris Idionycteris phyllotis 12.13
Vespertilionidae Ia Ia io 49.3
Vespertilionidae Histiotus Histiotus velatus 11.32
Vespertilionidae Histiotus Histiotus montanus 11.16
Vespertilionidae Histiotus Histiotus magellanicus 11.16
Vespertilionidae Histiotus Histiotus macrotus 11
Vespertilionidae Histiotus Histiotus laephotis 11.16
Vespertilionidae Histiotus Histiotus humboldti 11.16
Vespertilionidae Histiotus Histiotus alienus 11.16
Vespertilionidae Hesperoptenus Hesperoptenus tomesi 11.605
Vespertilionidae Hesperoptenus Hesperoptenus tickelli 16.3
Vespertilionidae Hesperoptenus Hesperoptenus gaskelli 11.605
Vespertilionidae Hesperoptenus Hesperoptenus doriae 11.605
Vespertilionidae Hesperoptenus Hesperoptenus blanfordi 6.91
Vespertilionidae Harpiola Harpiola isodon 10.1789238322
Vespertilionidae Harpiola Harpiola grisea 10.1789238322
Vespertilionidae Harpiocephalus Harpiocephalus mordax 13.65
Vespertilionidae Harpiocephalus Harpiocephalus harpia 13.65
Vespertilionidae Glischropus Glischropus tylopus 4.59
Vespertilionidae Glischropus Glischropus javanus 4.59
Vespertilionidae Glauconycteris Glauconycteris variegata 11.25
Vespertilionidae Glauconycteris Glauconycteris superba 8.3471428571
Vespertilionidae Glauconycteris Glauconycteris poensis 6.91
Vespertilionidae Glauconycteris Glauconycteris machadoi 8.3471428571
Vespertilionidae Glauconycteris Glauconycteris kenyacola 7.17
Vespertilionidae Glauconycteris Glauconycteris humeralis 5.49
Vespertilionidae Glauconycteris Glauconycteris gleni 10.81
Vespertilionidae Glauconycteris Glauconycteris egeria 8.3471428571
Vespertilionidae Glauconycteris Glauconycteris curryae 8.3471428571
Vespertilionidae Glauconycteris Glauconycteris beatrix 7.5
Vespertilionidae Glauconycteris Glauconycteris argentata 9.3
Vespertilionidae Glauconycteris Glauconycteris alboguttata 8.3471428571
Vespertilionidae Falsistrellus Falsistrellus tasmaniensis 22.54
Vespertilionidae Falsistrellus Falsistrellus petersi 22.77
Vespertilionidae Falsistrellus Falsistrellus mordax 22.77
Vespertilionidae Falsistrellus Falsistrellus mackenziei 23
Vespertilionidae Falsistrellus Falsistrellus affinis 22.77
Vespertilionidae Eudiscopus Eudiscopus denticulus 10.1789238322
Vespertilionidae Euderma Euderma maculatum 16.17
Vespertilionidae Eptesicus Eptesicus tatei 12.5638461538
Vespertilionidae Eptesicus Eptesicus serotinus 23.09
Vespertilionidae Eptesicus Eptesicus platyops 12.5638461538
Vespertilionidae Eptesicus Eptesicus pachyotis 8.1
Vespertilionidae Eptesicus Eptesicus nilssonii 10.72
Vespertilionidae Eptesicus Eptesicus nasutus 7.91
Vespertilionidae Eptesicus Eptesicus matroka 6.57
Vespertilionidae Eptesicus Eptesicus malagasyensis 12.5638461538
Vespertilionidae Eptesicus Eptesicus kobayashii 12.5638461538
Vespertilionidae Eptesicus Eptesicus japonensis 12.5638461538
Vespertilionidae Eptesicus Eptesicus innoxius 12.5638461538
Vespertilionidae Eptesicus Eptesicus hottentotus 30.33
Vespertilionidae Eptesicus Eptesicus guadeloupensis 12.5638461538
Vespertilionidae Eptesicus Eptesicus gobiensis 12.5638461538
Vespertilionidae Eptesicus Eptesicus fuscus 17.49
Vespertilionidae Eptesicus Eptesicus furinalis 7.7
Vespertilionidae Eptesicus Eptesicus floweri 12.5638461538
Vespertilionidae Eptesicus Eptesicus dimissus 13.03
Vespertilionidae Eptesicus Eptesicus diminutus 5.99
Vespertilionidae Eptesicus Eptesicus chiriquinus 12.5638461538
Vespertilionidae Eptesicus Eptesicus brasiliensis 9.2
Vespertilionidae Eptesicus Eptesicus bottae 15.66
Vespertilionidae Eptesicus Eptesicus bobrinskoi 7.54
Vespertilionidae Eptesicus Eptesicus andinus 12.5638461538
Vespertilionidae Corynorhinus Corynorhinus townsendii 10.3
Vespertilionidae Corynorhinus Corynorhinus rafinesquii 9.15
Vespertilionidae Corynorhinus Corynorhinus mexicanus 9.725
Vespertilionidae Cistugo Cistugo seabrae 10.1789238322
Vespertilionidae Cistugo Cistugo lesueuri 10.1789238322
Vespertilionidae Chalinolobus Chalinolobus tuberculatus 10.17
Vespertilionidae Chalinolobus Chalinolobus picatus 10.17
Vespertilionidae Chalinolobus Chalinolobus nigrogriseus 8.79
Vespertilionidae Chalinolobus Chalinolobus neocaledonicus 10.17
Vespertilionidae Chalinolobus Chalinolobus morio 8.91
Vespertilionidae Chalinolobus Chalinolobus gouldii 14.24
Vespertilionidae Chalinolobus Chalinolobus dwyeri 8.74
Vespertilionidae Bauerus Bauerus dubiaquercus 22.22
Vespertilionidae Barbastella Barbastella leucomelas 15.05
Vespertilionidae Barbastella Barbastella barbastellus 8.31
Vespertilionidae Arielulus Arielulus torquatus 10.4
Vespertilionidae Arielulus Arielulus societatis 10.4
Vespertilionidae Arielulus Arielulus cuprosus 10.4
Vespertilionidae Arielulus Arielulus circumdatus 10.4
Vespertilionidae Arielulus Arielulus aureocollaris 10.4
Vespertilionidae Antrozous Antrozous pallidus 22.24
Ursidae Ursus Ursus thibetanus 99714.19
Ursidae Ursus Ursus maritimus 371703.8
Ursidae Ursus Ursus arctos 196287.5
Ursidae Ursus Ursus americanus 110500
Ursidae Tremarctos Tremarctos ornatus 123177
Ursidae Melursus Melursus ursinus 99999.99
Ursidae Helarctos Helarctos malayanus 57075.78
