age;plot;genus;species;spcode;Abund.n;biomass;basal.area;SLA;LDMC;LPC;CN;d15N;d13C;plot total abund;total plot biomass;total plot basal area
40;9;Capparis ;frondosa;capfro;7;108.537.395;48.801.375;7.612.251.311;0.667512788;0.09051996;1.876.201.788;5.191.691.341;-305.219.754;153;1.234.425.551;3.102.169.613
40;9;Casearia;nitida;casnit;23;1.186.611.084;462.081.375;2.262.130.154;0.293503823;0.200834159;1.714.425.694;439.293.808;-298.491.143;153;1.234.425.551;3.102.169.613
40;9;Ceiba;pentandra;ceipan;1;3.262.472.695;847.224;;;;;;;153;1.234.425.551;3.102.169.613
40;9;Chomelia;spinosa;chospi;1;9.135.476.197;343.035;;;;;;;153;1.234.425.551;3.102.169.613
40;9;Genipa;americana;gename;6;2.481.695.146;98.933.625;2.733.054.913;0.292235255;0.160056286;1.790.949.475;251.211.864;-3.179.165.161;153;1.234.425.551;3.102.169.613
40;9;Guazuma;ulmifolia;guaulm;31;2.854.241.484;7.785.453.375;162.393.533;0.38093367;0.146112168;1.638.524.254;5.083.181.801;-3.092.467.201;153;1.234.425.551;3.102.169.613
40;9;Hymenaea;courbaril;hymcou;1;1.262.794.247;445.536;;;;;;;153;1.234.425.551;3.102.169.613
40;9;Maclura;tinctoria;mactin;1;2.220.342.403;9.646.875;3.184.322.556;0.278795374;0.130772201;113.738.864;6.797.493.324;-3.029.689.079;153;1.234.425.551;3.102.169.613
40;9;Malpighia;glabra;malgla;1;7.386.275.503;28.35;;;;;;;153;1.234.425.551;3.102.169.613
40;9;Malvaviscus;arboreus;malarb;9;1.797.256.012;3.914.071.875;2.023.426.031;0.240155952;0.157993021;1.667.204.416;4.240.642.967;-3.131.859.482;153;1.234.425.551;3.102.169.613
40;9;Pisonia;macranthocarpa;pismac;8;2.274.288.668;612.997.875;;;;;;;153;1.234.425.551;3.102.169.613
40;9;Randia;subcordata;ransub;5;3.679.301.948;146.167.875;2.779.335.328;0.316339777;0.121153666;1.961.128.205;3.035.935.583;-3.053.636.444;153;1.234.425.551;3.102.169.613
40;9;Semialarium;mexicanum;hemmex;17;1.412.543.134;497.156.625;;;0.090204;2.019.634.823;;;153;1.234.425.551;3.102.169.613
40;9;Spondias ;mombin;spomom;8;3.876.706.164;928.401.075;;;0.113745;18.8;3.4;-30.3;153;1.234.425.551;3.102.169.613
40;9;Stemmadenia;obovata;steobo;1;1.818.162.373;8.064;185.881;;0.178896;1.020.968.157;;;153;1.234.425.551;3.102.169.613
40;9;Tabebuea;rosea;tabros;1;7.003.253.058;16.808.715;;;;;;;153;1.234.425.551;3.102.169.613
